"Category","Name","Manufacturer","Scheme","Assurance Level","Protection Profile(s)","Certification Date","Archived Date","Certification Report URL","Security Target URL","Maintenance Date","Maintenance Title","Maintenance Report","Maintenance ST"
"Data Protection","D'Amo Agent v4.0","PENTA SECURITY SYSTEMS INC.","KR","None","","11/04/2021","11/04/2026","http://216.117.4.138:80/files/epfiles/KECS-CR-21-62 D'Amo Agent v4.0(eng).pdf","http://216.117.4.138:80/files/epfiles/D'Amo_Agent_v4.0_Security_target_v1.3.pdf","","","",""
"Data Protection","Securaze Eraser Engine version 2.0","Securaze AG","SG","EAL2+,ALC_FLR.2","","08/12/2021","08/12/2026","http://216.117.4.138:80/files/epfiles/Securaze EE - Certificate Report.pdf","http://216.117.4.138:80/files/epfiles/SECURAZE-Engine_ST v4.0.pdf","","","",""
"Data Protection","Zed! Version Q.2020.1","PrimX Technologies","FR","EAL3+,ALC_FLR.3,AVA_VAN.3","","07/13/2021","07/13/2026","http://216.117.4.138:80/files/epfiles/anssi-cc-2021_33fr.pdf","http://216.117.4.138:80/files/epfiles/cible_anssi-cc-2021_33.pdf","","","",""
"Data Protection","Huawei OceanStor Dorado V6 Series Storage System Software v 6.0.1","Huawei Technologies Co., Ltd.","ES","EAL3+,ALC_FLR.2","","06/08/2021","06/08/2026","http://216.117.4.138:80/files/epfiles/2020-17-BOE-A-2021-9460.pdf","http://216.117.4.138:80/files/epfiles/2020-17-ST.pdf","","","",""
"Data Protection","HEDES v1.0","HumaneSystem Co., Ltd","KR","None","","03/17/2021","03/17/2026","http://216.117.4.138:80/files/epfiles/KECS-CR-21-14 HEDES v1.0(eng) V1.00.pdf","http://216.117.4.138:80/files/epfiles/hds_st_005(eng).pdf","","","",""
"Data Protection","ShadowCube V7.0","Duruan Co., Ltd","KR","None","","03/09/2021","03/09/2026","http://216.117.4.138:80/files/epfiles/KECS-CR-21-10 Certification Report.pdf","http://216.117.4.138:80/files/epfiles/ShadowCube V7.0 Security Target V1.9.pdf","","","",""
"Data Protection","CipherDrive v1.2.2","KLC Group LLC","CA","None","CPP_FDE_AA_V2.0E","02/17/2021","02/17/2026","http://216.117.4.138:80/files/epfiles/511-LSS CR v1.0.pdf","http://216.117.4.138:80/files/epfiles/511-LSS ST v1.1.pdf","","","",""
"Data Protection","DiskCrypt M10 (Enterprise) Version M321P32J1E1","ST Engineering Electronics","SG","EAL2","","02/01/2021","02/01/2026","http://216.117.4.138:80/files/epfiles/DiskCrypt M10 (Enterprise) Certification Report v1.0.pdf","http://216.117.4.138:80/files/epfiles/STEE-InfoSec Security Target DiskCrypt M10 (Enterprise) v1.0 17Feb2020.pdf","","","",""
"Data Protection","KSignSecureDB V3.6","KSign Co., LTD.","KR","None","","12/03/2020","12/03/2025","http://216.117.4.138:80/files/epfiles/KECS-CISS-1059-2020_KSignSecureDB V3.6.pdf","http://216.117.4.138:80/files/epfiles/KSignSecureDB V3.6 Security Target V1.10.pdf","","","",""
"Data Protection","CubeOne V2.5 SP1","eGlobal Systems Co., Ltd","KR","None","","11/26/2020","11/26/2025","http://216.117.4.138:80/files/epfiles/KECS-CR-20-68 CubeOne V2.5 SP1(eng) V1.00.pdf","http://216.117.4.138:80/files/epfiles/CubeOne_ST_V2.5.1.3_SP1_ENG.pdf","","","",""
"Data Protection","ZoneCentral version 6.2, build 3030","PrimX Technologies","FR","EAL3+,ALC_FLR.3,AVA_VAN.3","","10/23/2020","10/23/2025","http://216.117.4.138:80/files/epfiles/anssi-cc-2020_31fr.pdf","http://216.117.4.138:80/files/epfiles/anssi-cible-cc-2020_31fr.pdf","","","",""
"Data Protection","McAfee Change Control and Application Control 8.3.0 with ePolicy Orchestrator 5.10.0","McAfee, LLC.","CA","EAL2+,ALC_FLR.2","","10/16/2020","10/16/2025","http://216.117.4.138:80/files/epfiles/513 EWA 2020 CR v1.0.pdf","http://216.117.4.138:80/files/epfiles/513 EWA 2020 ST McAfee ACCC 8.3.0.pdf","","","",""
"Data Protection","EdgeDB v4.0","SECUCEN Co., Ltd.","KR","None","","10/06/2020","10/06/2025","http://216.117.4.138:80/files/epfiles/[KECS-CR-20-60] Certifiation Report(EdgeDB v4.0).pdf","http://216.117.4.138:80/files/epfiles/EdgeDB v4.0_Security_Target(ST)_Public_v1.5.pdf","","","",""
"Data Protection","MagicDBPlus v2.0","Dreamsecurity Co., Ltd.","KR","None","","09/08/2020","09/08/2025","http://216.117.4.138:80/files/epfiles/[KECS-CR-20-56] Certifiation Report(MagicDBPlus v2.0).pdf","http://216.117.4.138:80/files/epfiles/MagicDBPlus_v2.0_ST_v1.3_En.pdf","","","",""
"Data Protection","Curtiss-Wright Defense Solutions Data Transport System 1-Slot Hardware Encryption Layer version 5.1","Curtiss-Wright","US","None","CPP_FDE_AA_V2.0E,CPP_FDE_EE_V2.0E","09/02/2020","09/02/2022","http://216.117.4.138:80/files/epfiles/st_vid11096-vr.pdf","http://216.117.4.138:80/files/epfiles/st_vid11096-st.pdf","","","",""
"Data Protection","Curtiss-Wright Defense Solutions Data Transport System 1-Slot Software Encryption Layer v3.0.1","Curtiss-Wright","US","None","CPP_FDE_AA_V2.0E,CPP_FDE_EE_V2.0E","09/02/2020","09/02/2022","http://216.117.4.138:80/files/epfiles/st_vid11097-vr.pdf","http://216.117.4.138:80/files/epfiles/st_vid11097-st.pdf","","","",""
"Data Protection","Youwipe Erasure Tool 4 with WipeCenter 4","AllWipe Oy Ltd.","NL","EAL3+,ALC_FLR.1","","08/12/2020","08/12/2025","http://216.117.4.138:80/files/epfiles/NSCIB-CC-0114526-CR.pdf","http://216.117.4.138:80/files/epfiles/YouWipe_Common_Criteria_EAL3_ST_V6.0.pdf","","","",""
"Data Protection","Amaris Data Diode for Air Gap (ADD-GAP) v2.0.112","Advanced Product Design Sdn. Bhd.","MY","EAL2","","06/25/2020","06/24/2025","http://216.117.4.138:80/files/epfiles/ISCB-5-RPT-C110-CR-v1.pdf","http://216.117.4.138:80/files/epfiles/Amaris Data Diode For Air Gap (ADD-GAP) Security Target-1.0.pdf","","","",""
"Data Protection","TZ v2.4","Tecnobit, grupo Oesia","ES","EAL2+,ALC_FLR.1","","06/12/2020","06/12/2025","http://216.117.4.138:80/files/epfiles/2018-54-INF-3132.pdf","http://216.117.4.138:80/files/epfiles/2018-54-ST.pdf","","","",""
"Data Protection","KeyW Protect for Samsung, Version 1.2.1.0","KeyW Corporation","US","None","MOD_FE_V1.0,PP_APP_V1.3","06/09/2020","06/09/2022","http://216.117.4.138:80/files/epfiles/st_vid11061-vr.pdf","http://216.117.4.138:80/files/epfiles/st_vid11061-st.pdf","","","",""
"Data Protection","Blancco Drive Eraser v6.9.1","Blancco Technology Group","AU","EAL2","","06/05/2020","06/05/2025","http://216.117.4.138:80/files/epfiles/ACSC Certifcation Report EFT-T008 Blancco Drive Eraser EAL2.pdf","http://216.117.4.138:80/files/epfiles/Blancco Drive Eraser v6.9.1 ST v6.0.pdf","","","",""
"Data Protection","Samsung Knox File Encryption 1.2","Samsung Electronics Co., Ltd.","US","None","MOD_FE_V1.0,PP_APP_V1.3","06/03/2020","06/03/2022","http://216.117.4.138:80/files/epfiles/st_vid11053-vr.pdf","http://216.117.4.138:80/files/epfiles/st_vid11053-st.pdf","","","",""
"Data Protection","D'Guard v3.0","INEB Inc.","KR","None","","05/20/2020","05/20/2025","http://216.117.4.138:80/files/epfiles/[KECS-CR-20-30] Certifiation Report(D'Guard v3.0).pdf","http://216.117.4.138:80/files/epfiles/D'Guard_v3.0_ST_EN_v1.5.pdf","","","",""
"Data Protection","BooleBox On Premises V 4.2","Boole Server S.r.l.","IT","EAL2+,ALC_FLR.2","","04/23/2020","04/23/2025","http://216.117.4.138:80/files/epfiles/rc_boolebox_42_v1.0.pdf","http://216.117.4.138:80/files/epfiles/st_boolebox_42_v1.5.pdf","","","",""
"Data Protection","Petra Cipher V3.2","SINSIWAY Co., LTD.","KR","None","","04/02/2020","04/02/2025","http://216.117.4.138:80/files/epfiles/KECS-CISS-1003-2020_CR_EN.pdf","http://216.117.4.138:80/files/epfiles/KECS-CISS-1003-2020_ST_EN.pdf","","","",""
"Data Protection","ASURRE-Stor&#x28;TM&#x29; Solid State Self-Encrypting Drive Hardware revision 3.0, Firmware revision 1.5.1","Mercury Systems","US","None","CPP_FDE_AA_V2.0E,CPP_FDE_EE_V2.0E","03/06/2020","03/06/2022","http://216.117.4.138:80/files/epfiles/st_vid11041-vr.pdf","http://216.117.4.138:80/files/epfiles/st_vid11041-st.pdf","","","",""
"Data Protection","Samsung SDS Database Encryption v1.0","Samsung SDS Co., Ltd","KR","None","","03/03/2020","03/03/2025","http://216.117.4.138:80/files/epfiles/KECS-CISS-0998-2020_CR_EN.pdf","http://216.117.4.138:80/files/epfiles/KECS-CISS-0998-2020_ST_EN.PDF","","","",""
"Data Protection","Samsung Knox File Encryption 1.0","Samsung Electronics Co., Ltd.","US","None","MOD_FE_V1.0,PP_APP_V1.3","12/09/2019","12/09/2021","http://216.117.4.138:80/files/epfiles/st_vid10994-vr.pdf","http://216.117.4.138:80/files/epfiles/st_vid10994-st.pdf","","","",""
"Data Protection","Hancom xDB V2.8","Hancom With Inc.","KR","None","","11/15/2019","11/15/2024","http://216.117.4.138:80/files/epfiles/KECS-CR-19-69 Hancom xDB V2.8(eng).pdf","http://216.117.4.138:80/files/epfiles/Hancom xDB V2.8_Security Target(ST)_v1.10.pdf","","","",""
"Data Protection","Document Security V5.0","SoftCamp Co., Ltd.","KR","None","","11/05/2019","11/05/2024","http://216.117.4.138:80/files/epfiles/KECS-CISS-0969-2019_CR_EN.pdf","http://216.117.4.138:80/files/epfiles/KECS-CISS-0969-2019_ST_EN.pdf","","","",""
"Data Protection","Document SAFER Blue 2","Mark Any.","KR","None","","09/26/2019","09/26/2024","http://216.117.4.138:80/files/epfiles/Document SAFER Blue 2 Security Target V1.10_???.pdf","http://216.117.4.138:80/files/epfiles/Document SAFER Blue 2 Security Target V1.10_???.pdf","","","",""
"Data Protection","KSignSecureDB V3.5","KSign Co., LTD.","KR","None","","08/27/2019","08/27/2024","http://216.117.4.138:80/files/epfiles/KECS-CR-19-51 Certification Report.pdf","http://216.117.4.138:80/files/epfiles/KSignSecureDB V3.5 Security Target V1.7.pdf","","","",""
"Data Protection","Cohesity DataPlatform and DataProtect V6.0.1","Cohesity Inc.","MY","EAL2+,ALC_FLR.1","","08/19/2019","","http://216.117.4.138:80/files/epfiles/ISCB-5-RPT-C101-CR-V1.pdf","http://216.117.4.138:80/files/epfiles/Cohesity_ST_061519_v1.0.pdf","05/18/2020","Cohesity DataPlatform & DataProtect v6.3.1e","http://216.117.4.138:80/files/epfiles/ISCB-5-RPT-M013-AMR-v1.pdf","http://216.117.4.138:80/files/epfiles/Cohesity_ST_05082020_v1.3.pdf"
"Data Protection","Cohesity DataPlatform and DataProtect V6.0.1","Cohesity Inc.","MY","EAL2+,ALC_FLR.1","","08/19/2019","","http://216.117.4.138:80/files/epfiles/ISCB-5-RPT-C101-CR-V1.pdf","http://216.117.4.138:80/files/epfiles/Cohesity_ST_061519_v1.0.pdf","","","",""
"Data Protection","D&rsquo;Amo v4.0","PENTA SECURITY SYSTEMS INC.","KR","None","","06/25/2019","07/25/2024","http://216.117.4.138:80/files/epfiles/KECS-CISS-0939-2019_CR_EN.pdf","http://216.117.4.138:80/files/epfiles/KECS-CISS-0939-2019_ST_EN.pdf","","","",""
"Data Protection","McAfee Data Loss Prevention 11.1 with ePolicy Orchestrator 5.10","McAfee, LLC.","CA","EAL2+,ALC_FLR.2","","05/14/2019","05/14/2024","http://216.117.4.138:80/files/epfiles/383-4-477 CR v1.0e.pdf","http://216.117.4.138:80/files/epfiles/383-4-477 MFE DLP 11-1 ST 10 (190508).pdf","","","",""
"Data Protection","CNS4 Software Encryption Layer vA1","Curtiss-Wright","US","None","CPP_FDE_AA_V2.0E,CPP_FDE_EE_V2.0E","04/15/2019","01/26/2022","http://216.117.4.138:80/files/epfiles/st_vid10968-vr.pdf","http://216.117.4.138:80/files/epfiles/st_vid10968-st.pdf","01/26/2021","Curtiss-Wright Defense Solutions Compact Network Storage 4-Slot Software Encryption Layer","http://216.117.4.138:80/files/epfiles/st_vid10968-add1.pdf","http://216.117.4.138:80/files/epfiles/st_vid10968-st.pdf"
"Data Protection","CNS4 Software Encryption Layer vA1","Curtiss-Wright","US","None","CPP_FDE_AA_V2.0E,CPP_FDE_EE_V2.0E","04/15/2019","01/26/2022","http://216.117.4.138:80/files/epfiles/st_vid10968-vr.pdf","http://216.117.4.138:80/files/epfiles/st_vid10968-st.pdf","","","",""
"Data Protection","CNS4 Hardware Encryption Layer vA1","Curtiss-Wright","US","None","CPP_FDE_AA_V2.0E,CPP_FDE_EE_V2.0E","03/28/2019","01/26/2022","http://216.117.4.138:80/files/epfiles/st_vid10954-vr.pdf","http://216.117.4.138:80/files/epfiles/st_vid10954-st.pdf","01/26/2021","Curtiss-Wright Defense Solutions Compact Network Storage 4-Slot Hardware Encryption Layer","http://216.117.4.138:80/files/epfiles/st_vid10954-add1.pdf","http://216.117.4.138:80/files/epfiles/st_vid10954-st.pdf"
"Data Protection","CNS4 Hardware Encryption Layer vA1","Curtiss-Wright","US","None","CPP_FDE_AA_V2.0E,CPP_FDE_EE_V2.0E","03/28/2019","01/26/2022","http://216.117.4.138:80/files/epfiles/st_vid10954-vr.pdf","http://216.117.4.138:80/files/epfiles/st_vid10954-st.pdf","","","",""
"Data Protection","WipeDrive v9.1","WhiteCanyon Software","IT","EAL2+,ALC_FLR.2,ASE_TSS.2","","03/27/2019","","http://216.117.4.138:80/files/epfiles/cr_wipedrive_91_v1.0_en.pdf","http://216.117.4.138:80/files/epfiles/st_wipedrive_91_v1.3.pdf","","","",""
"Data Protection","CryptoFlow Net Creator v5.3 Software with CEP220, CEP250, CEP300, CEP420, and CEP520 running CEP v5.3 Firmware","Certes Network, Inc.","IT","EAL4+,ALC_FLR.3","","03/13/2019","","http://216.117.4.138:80/files/epfiles/cr_cryptoflow_53_v1.0_en.pdf","http://216.117.4.138:80/files/epfiles/st_cyptoflow_53_v0.7.pdf","","","",""
"Data Protection","SafeDB V4.0","INITECH","KR","None","","03/11/2019","03/11/2024","http://216.117.4.138:80/files/epfiles/KECS-CR-19-14 SafeDB V4.0(eng).pdf","http://216.117.4.138:80/files/epfiles/CCP.C_SB40_Security_Target_V1.6.pdf","","","",""
"Data Protection","CubeOne V2.5","eGlobal Systems Co., Ltd","KR","None","","03/04/2019","03/04/2024","http://216.117.4.138:80/files/epfiles/KECS-CR-19-12 CubeOne V2.5(eng).pdf","http://216.117.4.138:80/files/epfiles/CubeOne_ST_V2.5.1.2_ENG.pdf","","","",""
"Data Protection","PrivacyDB V2.0","OWL Systems Inc.","KR","None","","02/21/2019","02/21/2024","http://216.117.4.138:80/files/epfiles/KECS-CR-19-06 Certification Report.pdf","http://216.117.4.138:80/files/epfiles/0.[OWL] Security Target(ST)_V1.10_(19.01.11).pdf","","","",""
"Data Protection","DiskCrypt M100 &#x28;Enterprise&#x29; ID&#x3a;9910-8000-1239 Ver&#x3a;M253P15AO206","ST Engineering Electronics","SG","EAL2","","02/01/2019","07/23/2023","http://216.117.4.138:80/files/epfiles/[CER] DC CERTIFICATION REPORT v2.0.pdf","http://216.117.4.138:80/files/epfiles/STEE-InfoSec Security Target DiskCrypt M100 (Enterprise) v2.0.pdf","","","",""
"Data Protection","Secure Messages Protection Profile","Swedish Civil Contingencies Agency","SE","EAL3,ALC_FLR.2","","12/18/2018","12/18/2023","http://216.117.4.138:80/files/epfiles/Certification Report - Secure Messages PP.pdf","http://216.117.4.138:80/files/epfiles/Secure Messages PP v1.1.pdf","","","",""
"Data Protection","McAfee Policy Auditor 6.4 with ePolicy Orchestrator 5.10","McAfee, LLC.","CA","EAL2+,ALC_FLR.2","","11/05/2018","11/05/2023","http://216.117.4.138:80/files/epfiles/383-4-455 CR v1.1.pdf","http://216.117.4.138:80/files/epfiles/McAfee PA 64 EAL2 ST 10.pdf","","","",""
"Data Protection","NetIQ&reg; Sentinel&trade; 8.1 - Sentinel Server v.8.1.0.1.4309, Data Collector v.8.1.0.1.4309, Correlation Engine v.8.1.0.1.4309","NetIQ Corporation","SE","EAL3,ALC_FLR.1","","10/12/2018","","http://216.117.4.138:80/files/epfiles/Certification Report NetIQ Sentinel.pdf","http://216.117.4.138:80/files/epfiles/Sentinel 8.1 ST v2.0.pdf","","","",""
"Data Protection","IS101 v1.01","Istria Soluciones de Criptograf&iacute;a S.A.","ES","EAL4+,ALC_FLR.1","","07/02/2018","","http://216.117.4.138:80/files/epfiles/2016-45-INF-2360.pdf","http://216.117.4.138:80/files/epfiles/2016-45-ST.pdf","","","",""
"Data Protection","Cryhod – v.3.0 build 570","PrimX Technologies","FR","EAL3+,ALC_FLR.3,AVA_VAN.3","PP_DCSSI_MASS_STORAGE_ENCRYPT_APP_V1.4","06/01/2018","06/01/2023","http://216.117.4.138:80/files/epfiles/anssi-cc-2018_20.pdf","http://216.117.4.138:80/files/epfiles/anssi-cible-cc-2018_20.pdf","","","",""
"Data Protection","Panda Adaptive Defense Protection Agent, versi&oacute;n 8.0","Panda Security, SL.","ES","EAL2+,ALC_FLR.1","","05/19/2018","","http://216.117.4.138:80/files/epfiles/2017-16-INF-2295.pdf","http://216.117.4.138:80/files/epfiles/2017-16-ST.pdf","","","",""
"Data Protection","FED 5","Fasoo.com Inc.","KR","None","","03/27/2018","03/27/2023","http://216.117.4.138:80/files/epfiles/KECS-CR-18-09 Certification Report.pdf","http://216.117.4.138:80/files/epfiles/FED5_ST_Lite_1.5.pdf","","","",""
"Data Protection","McAfee Data Loss Prevention 11.0 with ePolicy Orchestrator 5.9.0","McAfee, LLC.","CA","EAL2+,ALC_FLR.2","","01/04/2018","01/04/2023","http://216.117.4.138:80/files/epfiles/383-4-429 CR 1.0e.pdf","http://216.117.4.138:80/files/epfiles/383-4-429 MFE UDLP ST 10 (171211).pdf","","","",""
"Data Protection","Micro Focus Voltage SecureData Appliance &#x28;SDA&#x29; v6.4 and SecureData Simple API v5.10","Micro Focus","MY","EAL2,ALC_FLR.1","","12/20/2017","","http://216.117.4.138:80/files/epfiles/ISCB-5-RPT-C088-CR-v1.pdf","http://216.117.4.138:80/files/epfiles/Micro Focus Voltage SDA ST 1.0.pdf","","","",""
"Data Protection","McAfee Change Control and Application Control 8.0.0 with ePolicy Orchestrator 5.3.2","McAfee, LLC.","CA","EAL2+,ALC_FLR.2","","12/11/2017","12/11/2022","http://216.117.4.138:80/files/epfiles/383-4-430 cr v1.0e.docx","http://216.117.4.138:80/files/epfiles/McAfee ACCC 800 ST 11.docx","","","",""
"Data Protection","Blancco File Eraser 8.2","Blancco Oy Ltd.","SE","EAL2,ALC_FLR.2","","11/30/2017","","http://216.117.4.138:80/files/epfiles/Certification Report Blancco.pdf","http://216.117.4.138:80/files/epfiles/Security_Target_File_Eraser.pdf (383089) (0)_TMP.pdf","","","",""
"Data Protection","Dell Data Protection &#x7c; Encryption Personal Edition Version 8.14.0","Dell, Inc.","CA","None","PP_APP_SWFE_EP_V1.0,PP_APP_V1.2","10/02/2017","10/02/2022","http://216.117.4.138:80/files/epfiles/383-4-416 CR v1.1e.pdf","http://216.117.4.138:80/files/epfiles/383-4-416 ST v110.pdf","","","",""
"Data Protection","SecureMi&reg; v1.2","Evault Technologies Sdn Bhd","MY","EAL2","","09/06/2017","","http://216.117.4.138:80/files/epfiles/ISCB-5-RPT-C064-CR-v1.pdf","http://216.117.4.138:80/files/epfiles/SecureMi 1.2 Security Target v0.13.pdf","","","",""
"Data Protection","Dell EMC&trade; NetWorker&reg; 9.1","EMC Corporation","CA","EAL2+,ALC_FLR.2","","08/21/2017","08/21/2022","http://216.117.4.138:80/files/epfiles/383-4-419 CR v1.0e.pdf","http://216.117.4.138:80/files/epfiles/NetWorker_EAL2_ST_12.pdf","","","",""
"Data Protection","Stormshield Endpoint Security - Version 7.2.06 build 29579","Stormshield","FR","EAL3+,ALC_FLR.3,AVA_VAN.3","PP_DCSSI_MASS_STORAGE_ENCRYPT_APP_V1.4","06/07/2017","06/07/2022","http://216.117.4.138:80/files/epfiles/anssi-cc-2017_25fr.pdf","http://216.117.4.138:80/files/epfiles/anssi_cible2017_25fr.pdf","","","",""
"Data Protection","Pivot3, Inc. vSTAC OS v7.5","Quantum Corporation","CA","EAL2+,ALC_FLR.2","","05/08/2017","05/08/2022","http://216.117.4.138:80/files/epfiles/383-4-411 CR  1.0e.docx","http://216.117.4.138:80/files/epfiles/Pivot3 vSTAC OS v7.5 ST v1.3.pdf","","","",""
"Data Protection","Symantec&trade; Data Loss Prevention 14.5","Symantec Corporation","CA","EAL2+,ALC_FLR.2","","12/14/2016","12/14/2021","http://216.117.4.138:80/files/epfiles/383-4-375 CR v1.0e.pdf","http://216.117.4.138:80/files/epfiles/383-4-375 ST v1.2.pdf","","","",""
"Data Protection","Certus Erasure Engine v3.2","Certus Software S.R.L.","ES","EAL3+,ALC_FLR.1","","06/16/2016","","http://216.117.4.138:80/files/epfiles/2015-10-INF-1627.pdf","http://216.117.4.138:80/files/epfiles/2015-10-ST.pdf","07/02/2018","Certus Erasure Engine v3.11.7","http://216.117.4.138:80/files/epfiles/2018-03-INF-2363.pdf","http://216.117.4.138:80/files/epfiles/2018-03-ST.pdf"
"Data Protection","Certus Erasure Engine v3.2","Certus Software S.R.L.","ES","EAL3+,ALC_FLR.1","","06/16/2016","","http://216.117.4.138:80/files/epfiles/2015-10-INF-1627.pdf","http://216.117.4.138:80/files/epfiles/2015-10-ST.pdf","","","",""
